4, 4, 4, 4, 4, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8
8, 8, 8, 7, 4, 4, 4, 4, 1, 1, 1, 4, 4, 7, 7
8, 8, 8, 8, 8, 8, 8, 8, 7, 7, 4, 4, 4, 4, 4
1, 2, 2, 1, 1, 4, 4, 7, 7, 8, 8, 8, 8, 9, 7
7, 4, 4, 4, 4, 4, 5, 4, 1, 2, 2, 1, 1, 4, 4
7, 7, 7, 7, 7, 7, 4, 4, 4, 4, 4, 4, 4, 6, 5
4, 1, 2, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
4, 55, 4, 4, 4, 6, 6, 5, 4, 1, 1, 1, 4, 5, 4
4, 4, 4, 4, 5, 5, 1, 1, 1, 1, 1, 1, 6, 6, 5
4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 5, 1, 1, 1, 5
4, 4, 55, 5, 6, 6, 6, 5, 4, 4, 1, 4, 4, 4, 4
4, 4, 1, 1, 5, 5, 4, 4, 4, 5, 6, 5, 6, 6, 6
5, 4, 1, 4, 4, 4, 32, 4, 4, 23, 4, 4, 4, 4, 4
5, 6, 6, 5, 5, 6, 6, 5, 4, 1, 1, 4, 4, 4, 4
4, 1, 4, 4, 4, 4, 4, 5, 6, 6, 5, 5, 6, 6, 5
4, 4, 1, 1, 1, 3, 1, 1, 1, 4, 4, 4, 4, 4, 5
6, 6, 5, 6, 6, 6, 6, 5, 4, 4, 1, 2, 1, 2, 1
5, 5, 4, 4, 4, 4, 5, 6, 6, 6, 6, 6, 6, 5, 4
4, 4, 3, 1, 2, 2, 1, 5, 4, 4, 4, 5, 4, 4, 5
6, 6, 6, 5, 5, 4, 4, 4, 4, 3, 1, 2, 1, 5, 6
13, 14, 15, 5, 5, 4, 4, 5, 5, 5, 4, 4, 4, 4, 4
4, 3, 1, 2, 1, 6, 6, 5, 5, 5, 6, 5, 5, 4, 4
